Symbol,Gene_symbol,IPI_accession,IPIs,Description,Protein_length,hESC_SpC,hNSC_SpC,NSAF_SpC_ratio,hESC_G_mean,hESC_Ln_NSAF,hESC_RSD_pct,hNSC_G_mean,hNSC_Ln_NSAF,hNSC_RSC_pct,t_test_p,color
WRNIP1,WRNIP1,IPI00290314,IPI00902976;IPI00102997;IPI00645459;IPI00290314;IPI00642533,Isoform 1 of ATPase WRNIP1,665,"( 4 ,5 ,4 )","( 2 ,3 ,7 )",1.214693159,1.00783e-05,-11.50512143,2.87341443,8.29703e-06,-11.69961293,3.601773672,0.563366266,gray
SERBP1,SERBP1,IPI00410693,IPI00470497;IPI00470498;IPI00410693,"SERPINE1 mRNA binding protein 1, isoform CRA_d",465,"( 170 ,139.842 ,245 )","( 142 ,262 ,216 )",0.883429862,0.000610319,-7.401529025,1.857726647,0.000690852,-7.277585648,4.301042965,0.563916769,gray
TOE1,TOE1,IPI00549516,IPI00942236;IPI00549516,Target of EGR1 protein 1,510,"( 16 ,24 ,10 )","( 24 ,17 ,20 )",0.763994795,4.70262e-05,-9.96480499,6.78691564,6.15531e-05,-9.695610687,3.19666708,0.564336645,gray
STRN4,STRN4,IPI00741970,IPI00003016;IPI00741970,striatin-4 isoform 2,760,"( 28.6364 ,24.809 ,21.5455 )","( 25.3165 ,27.7627 ,32.3333 )",0.861781168,4.99331e-05,-9.904826448,4.040956429,5.79417e-05,-9.756072542,0.961800864,0.564639067,gray
NAPA,NAPA,IPI00009253,IPI00009253,Alpha-soluble NSF attachment protein,295,"( 61.8545 ,61 ,77 )","( 60 ,60 ,90.3086 )",0.946951148,0.000343149,-7.977345369,1.737966068,0.000362373,-7.922837596,0.74612955,0.564995501,gray
GSTCD,GSTCD,IPI00478068,IPI00478068,Glutathione S-transferase C-terminal domain-containing protein,633,"( 6 ,12 ,20 )","( 3 ,15 ,12 )",1.363317945,2.72662e-05,-10.5098632,3.715935424,1.99999e-05,-10.81978459,7.066138978,0.565178988,gray
EPHX2,EPHX2,IPI00104341,IPI00942976;IPI00909862;IPI00104341,"cDNA FLJ59619, highly similar to Epoxide hydrolase 2",572,"( 6 ,0 ,4 )","( 2 ,6 ,4 )",0.604981802,6.13677e-06,-12.00121168,10.85560832,1.01437e-05,-11.49865478,4.354987151,0.565382974,gray
WDR52,WDR52,IPI00747180,IPI00945544;IPI00747180,WD repeat-containing protein 52 isoform 1,1854,"( 8 ,1 ,10 )","( 5 ,5 ,11 )",0.649529134,3.55217e-06,-12.54795087,9.34122367,5.46884e-06,-12.11644328,2.12417379,0.566169677,gray
BZW2,BZW2,IPI00022305,IPI00892775;IPI00894416;IPI00022305,Basic leucine zipper and W2 domain-containing protein 2,419,"( 31.7294 ,23.3538 ,26.2281 )","( 23.1733 ,31.0423 ,37.6061 )",0.880514719,9.80744e-05,-9.229784145,3.685295036,0.000111383,-9.10253551,1.042892405,0.566226254,gray
NXN,NXN,IPI00304267,IPI00304267,Isoform 1 of Nucleoredoxin,435,"( 42 ,47 ,37 )","( 38 ,44 ,62 )",0.874812775,0.000146871,-8.825959126,4.192698224,0.000167888,-8.692213739,0.441900025,0.567031054,gray
COL4A3BP,COL4A3BP,IPI00657692,IPI00182914;IPI00657692;IPI00024701,collagen type IV alpha-3-binding protein isoform 3,752,"( 23 ,17 ,41 )","( 19 ,22 ,28 )",1.091817332,5.1248e-05,-9.878834363,2.448944203,4.69382e-05,-9.966677948,0.341693846,0.567111941,gray
RPL10A,RPL10A,IPI00412579,IPI00412579,60S ribosomal protein L10a,217,"( 169 ,173.589 ,370.084 )","( 155.358 ,209.834 ,253 )",1.077459641,0.001559617,-6.463315196,2.822669955,0.001447494,-6.537921283,1.515193254,0.567283097,gray
GSK3A,GSK3A,IPI00292228,IPI00292228,Glycogen synthase kinase-3 alpha,483,"( 26.6667 ,40.9831 ,35.4 )","( 35.6226 ,28.1912 ,19.1489 )",1.241096619,0.000107025,-9.142445846,3.160794685,8.62344e-05,-9.358441205,5.636909631,0.567325622,gray
RAB4B,RAB4B,IPI00187143,IPI00187143;IPI00477489,Isoform 2 of Ras-related protein Rab-4B,248,"( 2.33333 ,4.92308 ,0 )","( 4.03101 ,3.01172 ,2.25 )",0.584608484,1.1037e-05,-11.4142594,12.41565157,1.88793e-05,-10.87744649,4.613304923,0.568094787,gray
ZNF259,ZNF259,IPI00025244,IPI00657912;IPI00657874;IPI00025244,Zinc finger protein ZPR1,459,"( 32 ,35 ,3 )","( 25 ,26 ,29 )",0.553046568,5.03143e-05,-9.897222213,16.7831883,9.09765e-05,-9.304909141,1.52985255,0.568392907,gray
RCN3,RCN3,IPI00101037,IPI00101037,Reticulocalbin-3,328,"( 14.7333 ,10.625 ,8 )","( 12.2941 ,3.33333 ,11 )",1.382052186,5.02273e-05,-9.898951856,5.634264377,3.63425e-05,-10.22252134,6.980191692,0.569022965,gray
ARL6IP5,ARL6IP5,IPI00007426,IPI00908696;IPI00909717;IPI00945943;IPI00946450;IPI00946721;IPI00007426,PRA1 family protein 3,188,"( 4 ,0 ,30 )","( 3 ,6 ,29 )",0.475633809,3.18273e-05,-10.35518682,17.99465157,6.69155e-05,-9.612079789,9.985222753,0.569054015,gray
SSR4,SSR4,IPI00019385,IPI00019385,Translocon-associated protein subunit delta precursor,184,"( 27 ,22 ,97 )","( 25 ,19 ,56 )",1.272034266,0.00032083,-8.044598078,6.857810186,0.000252218,-8.285215482,4.664780132,0.569114833,gray
GPR37,GPR37,IPI00006166,IPI00006166,Probable G-protein coupled receptor 37,613,"( 13 ,2 ,26 )","( 51 ,25 ,4 )",0.501264273,2.18825e-05,-10.72982507,11.05458779,4.36545e-05,-10.03920324,15.33246211,0.569214253,gray
PSMC1,PSMC1,IPI00011126,IPI00011126,26S protease regulatory subunit 4,440,"( 140.855 ,133.995 ,212.676 )","( 135 ,140.678 ,185 )",1.027756375,0.000552054,-7.501864966,0.778153489,0.000537145,-7.529243115,0.658451833,0.569321135,gray
DDRGK1,DDRGK1,IPI00942981,IPI00028387;IPI00942981;IPI00375407,36 kDa protein,314,"( 4 ,1 ,15 )","( 8 ,11 ,3 )",0.596421189,1.91562e-05,-10.86288659,10.70505402,3.21185e-05,-10.34607843,8.408519823,0.569813,gray
PANK1,PANK1,IPI00152578,IPI00220147;IPI00553196;IPI00152578;IPI00872927;IPI00170950,Isoform 1 of Pantothenate kinase 1,598,"( 3 ,3.33333 ,6 )","( 4 ,4 ,4.4 )",0.934104065,1.02624e-05,-11.4870219,0.875132165,1.09864e-05,-11.41885447,1.422624781,0.569976161,gray
PCDH1,PCDH1,IPI00872579,IPI00914969;IPI00964741;IPI00965876;IPI00872579;IPI00000024,Isoform 2 of Protocadherin-1,1237,"( 20 ,23 ,8.88889 )","( 22 ,21 ,18 )",0.741930437,2.01021e-05,-10.81468713,7.046952799,2.70943e-05,-10.51618734,3.340379008,0.570644047,gray
MIR1181,CDC37,IPI00013122,IPI00013122,Hsp90 co-chaperone Cdc37,378,"( 73 ,92 ,125 )","( 82 ,75 ,113 )",1.047040371,0.000381437,-7.871564816,1.087587969,0.0003643,-7.917532305,1.222781327,0.571165153,gray
PDHA2,PDHA2,IPI00024087,IPI00024087,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial",388,"( 2.60377 ,4.77193 ,1.18966 )","( 2.21918 ,5.47297 ,3.48276 )",0.692469974,9.66753e-06,-11.54673732,8.077590928,1.39609e-05,-11.17924692,4.031246259,0.571460936,gray
THAP4,THAP4,IPI00788055,IPI00788055,Isoform 1 of THAP domain-containing protein 4,684,"( 2 ,2 ,1 )","( 2 ,2 ,2 )",0.780305009,3.54709e-06,-12.54938354,5.299034032,4.54577e-06,-12.30131314,1.745401107,0.571586955,gray
SLC38A9,SLC38A9,IPI00168340,IPI00965808;IPI00966729;IPI00967400;IPI00903111;IPI00964618;IPI00889635;IPI00967063;IPI00168340,Isoform 1 of Putative sodium-coupled neutral amino acid transporter 9,561,"( 2 ,2 ,1 )","( 2 ,2 ,2 )",0.780305009,4.32478e-06,-12.35114836,5.384241454,5.54243e-06,-12.10307796,1.773994774,0.571586955,gray
APOO,APOO,IPI00042580,IPI00953537;IPI00843886;IPI00042580;IPI00797546,Isoform 1 of Apolipoprotein O,198,"( 9 ,5 ,20 )","( 4 ,9 ,12 )",1.246778494,7.52104e-05,-9.495221178,5.077513981,6.03238e-05,-9.715784198,4.04275273,0.571959122,gray
RAB21,RAB21,IPI00007755,IPI00007755,Ras-related protein Rab-21,225,"( 21.3793 ,15.4359 ,10.5 )","( 13.7508 ,14.6829 ,33.4943 )",0.786699216,0.000102793,-9.182793647,6.673060503,0.000130664,-8.942884352,3.215642377,0.572023505,gray
MAP4,MAP4,IPI00880007,IPI00743873;IPI00396171;IPI00880007;IPI00878314;IPI00927819;IPI00333281;IPI00411375;IPI00043863;IPI00910596,245 kDa protein,2297,"( 320 ,379 ,419 )","( 269 ,305 ,363 )",1.165222659,0.000395428,-7.835541412,1.69307579,0.000339358,-7.988453604,5.142285124,0.572393234,gray
SELT,SELT;LOC645969,IPI00008351,IPI00871605;IPI00940122;IPI00008351;IPI00937195,Selenoprotein T,195,"( 3 ,5 ,0 )","( 3 ,7 ,2 )",0.554361933,1.54148e-05,-11.08017957,13.31988961,2.78065e-05,-10.49024208,7.506131647,0.572551726,gray
BAX,BAX,IPI00444945,IPI00443773;IPI00071059;IPI00845474;IPI00885203;IPI00444945,Isoform Beta of Apoptosis regulator BAX,218,"( 44 ,48 ,107 )","( 42 ,46 ,83 )",1.101903514,0.000427439,-7.757699598,2.888421362,0.000387909,-7.85473875,2.018333754,0.573331454,gray
SETD2,SETD2,IPI00307733,IPI00917278;IPI00917578;IPI00442150;IPI00916993;IPI00307733;IPI00796144;IPI00917114,Isoform 1 of Histone-lysine N-methyltransferase SETD2,2564,"( 4.00667 ,4 ,3 )","( 2 ,6 ,2 )",1.401008871,2.52091e-06,-12.89088884,4.3611845,1.79936e-06,-13.22808144,5.832089124,0.57336799,gray
RBM27,RBM27,IPI00292975,IPI00292975,RNA-binding protein 27,1060,"( 20.4545 ,21.5385 ,20.3077 )","( 11.7647 ,23.25 ,20 )",1.158290283,2.99334e-05,-10.41653482,2.713180841,2.58428e-05,-10.56347984,2.88631646,0.573393738,gray
TARDBP,TARDBP,IPI00025815,IPI00844544;IPI00025815,TDP43,416,"( 22 ,32 ,66 )","( 30 ,32 ,73 )",0.861492199,0.000133013,-8.925062145,3.481979669,0.000154399,-8.775972867,3.264307137,0.574099756,gray
TOMM40,TOMM40,IPI00014053,IPI00014053,Isoform 1 of Mitochondrial import receptor subunit TOM40 homolog,361,"( 60 ,57 ,64 )","( 48 ,59 ,53 )",1.114860019,0.000255154,-8.273643242,2.649447848,0.000228866,-8.382372095,2.585736855,0.574188209,gray
DNAJC21,DNAJC21,IPI00413366,IPI00413366;IPI00829610;IPI00142716,Isoform 2 of DnaJ homolog subfamily C member 21,576,"( 3 ,3 ,6 )","( 0 ,4 ,7 )",1.541805769,1.00296e-05,-11.50997058,1.221200555,6.50509e-06,-11.94292488,10.24372844,0.574227183,gray
NME3,NME3,IPI00012315,IPI00012315,Nucleoside diphosphate kinase 3,169,"( 13.1688 ,7.07216 ,14 )","( 10.1887 ,10 ,18.0677 )",0.876347678,9.88014e-05,-9.222399187,3.760150703,0.000112742,-9.090406813,1.561079568,0.574570739,gray
APEX1,APEX1,IPI00215911,IPI00215911;IPI00792538,DNA-(apurinic or apyrimidinic site) lyase,318,"( 202 ,179 ,386 )","( 194 ,301 ,299 )",0.915037136,0.001161019,-6.758457481,2.485765276,0.001268821,-6.669666852,2.817662948,0.574667903,gray
JUP,JUP,IPI00554711,IPI00554711,Junction plakoglobin,745,"( 57.2578 ,68.4726 ,69.7301 )","( 52.4725 ,66.9184 ,49.3053 )",1.144830337,0.00013315,-8.924032903,2.344756105,0.000116306,-9.059289352,3.555568233,0.574742483,gray
TRIP13,TRIP13,IPI00003505,IPI00003505,Isoform 1 of Thyroid receptor-interacting protein 13,432,"( 24 ,17 ,41 )","( 21 ,14 ,35 )",1.15598178,9.04841e-05,-9.310336765,2.697530145,7.82746e-05,-9.455286774,3.452330063,0.574948586,gray
BRAP,BRAP,IPI00396089,IPI00396089;IPI00908635,BRCA1-associated protein,592,"( 9 ,10 ,19 )","( 7 ,15 ,10 )",1.159348623,3.10679e-05,-10.3793339,1.318673225,2.67978e-05,-10.52719222,3.777392395,0.575279418,gray
SYCP2,SYCP2,IPI00306718,IPI00789850;IPI00306718,Synaptonemal complex protein 2,1530,"( 3 ,5 ,2 )","( 0 ,4 ,4 )",1.5570329,3.18384e-06,-12.65742288,5.310863734,2.04481e-06,-13.10020491,8.158801543,0.575720544,gray
HSD17B10,HSD17B10,IPI00017726,IPI00017726;IPI00336094,Isoform 1 of 3-hydroxyacyl-CoA dehydrogenase type-2,261,"( 93 ,100 ,125 )","( 89 ,125 ,123 )",0.93126909,0.000616046,-7.392188789,1.539150601,0.000661512,-7.320981779,2.293388356,0.575902315,gray
CCDC58,CCDC58,IPI00046828,IPI00046828;IPI00945888;IPI00945719,Coiled-coil domain-containing protein 58,144,"( 23 ,24 ,18 )","( 18 ,26 ,32 )",0.857457994,0.000228183,-8.385364734,4.981335532,0.000266115,-8.231581647,1.614646007,0.575951218,gray
ADO,ADO,IPI00045939,IPI00045939,2-aminoethanethiol dioxygenase,270,"( 8 ,9 ,4 )","( 3 ,12 ,2 )",1.560609315,3.7383e-05,-10.19429437,6.858453258,2.39541e-05,-10.6393707,9.983809117,0.576070294,gray
ARHGAP21,ARHGAP21,IPI00169307,IPI00867727;IPI00941749;IPI00169307,rho GTPase-activating protein 21,1958,"( 6 ,9 ,0 )","( 6 ,7 ,5 )",0.512851957,2.45493e-06,-12.91741039,14.57247082,4.78683e-06,-12.24964233,2.912376327,0.57625434,gray
DPM1,DPM1,IPI00796864,IPI00796864;IPI00022018;IPI00641116,"Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit",295,"( 11 ,13 ,19 )","( 15 ,10 ,24 )",0.895096755,7.22962e-05,-9.534739246,0.538380083,8.07691e-05,-9.423915786,3.313286964,0.576724054,gray
SAMM50,SAMM50,IPI00412713,IPI00871854;IPI00902680;IPI00412713,Sorting and assembly machinery component 50 homolog,469,"( 66 ,67 ,110 )","( 73 ,49 ,98 )",1.101962002,0.000267556,-8.226180145,0.487765653,0.0002428,-8.323272374,3.296688568,0.576835339,gray
TNRC6B,TNRC6B,IPI00940033,IPI00152296;IPI00385511;IPI00873067;IPI00940033;IPI00941262,Isoform 1 of Trinucleotide repeat-containing gene 6B protein,1847,"( 7 ,15 ,4 )","( 4 ,12 ,2 )",1.613971665,6.28218e-06,-11.97779414,7.280615686,3.89237e-06,-12.45649215,8.487723575,0.577060356,gray
RNF31,RNF31,IPI00094740,IPI00094740;IPI00902776;IPI00604409,Isoform 1 of RING finger protein 31,1072,"( 5 ,6 ,2 )","( 0 ,6 ,4 )",1.68111618,5.58165e-06,-12.09602525,7.014370041,3.32021e-06,-12.61548321,9.713430463,0.577689713,gray
CBL,CBL,IPI00027269,IPI00027269,E3 ubiquitin-protein ligase CBL,906,"( 37 ,37 ,67 )","( 37 ,40 ,69.6308 )",0.945684394,7.60803e-05,-9.483720772,0.904095109,8.045e-05,-9.427874385,1.431370584,0.577804174,gray
MYL6B,MYL6B;MYL6,IPI00909366,IPI00909366;IPI00335168;IPI00789605;IPI00027255;IPI00797626;IPI00796366;IPI00930599,"cDNA FLJ60058, highly similar to Myosin light chain 1, slow-twitch muscle A isoform",223,"( 14.7183 ,8.42276 ,308 )","( 12.8333 ,20.0424 ,32.1136 )",1.745311386,0.000269954,-8.217260128,19.31411469,0.000154674,-8.774193112,3.598207434,0.578727699,gray
TMX1,TMX1,IPI00395887,IPI00395887,Thioredoxin-related transmembrane protein 1,280,"( 46 ,36 ,72 )","( 50 ,36 ,92 )",0.881155914,0.000268667,-8.222039371,2.048306997,0.000304902,-8.095518676,3.981371563,0.579111746,gray
CPNE3,CPNE3,IPI00024403,IPI00024403,Copine-3,537,"( 69 ,57.8571 ,101.337 )","( 67.8788 ,67.9104 ,95.7 )",0.955147729,0.000210503,-8.466012521,1.426668566,0.000220387,-8.420123261,0.628189155,0.579130402,gray
DENND4C,DENND4C,IPI00746398,IPI00100453;IPI00478744;IPI00746398;IPI00514187;IPI00856026,Isoform 1 of DENN domain-containing protein 4C,1673,"( 7 ,8 ,1 )","( 5 ,14 ,5 )",0.563733396,3.82519e-06,-12.47390201,12.12076185,6.78546e-06,-11.90072817,5.631148062,0.579183757,gray
DYM,DYM,IPI00296211,IPI00296211,Isoform 1 of Dymeclin,669,"( 2 ,2 ,3 )","( 3 ,1 ,2 )",1.238656992,5.23049e-06,-12.16100636,0.358960948,4.22271e-06,-12.37503408,4.968622836,0.579700226,gray
ALDOC,ALDOC,IPI00418262,IPI00418262;IPI00792375,Fructose-bisphosphate aldolase,451,"( 140.357 ,161.712 ,326.315 )","( 150.59 ,163.207 ,164.127 )",1.157482783,0.000763453,-7.177659383,3.445001184,0.00065958,-7.323907016,4.657054442,0.579847362,gray
PRPS1,PRPS1,IPI00219616,IPI00219616,Ribose-phosphate pyrophosphokinase 1,318,"( 145.929 ,180.234 ,204.053 )","( 137.374 ,164.077 ,189.285 )",1.061268662,0.0008415,-7.08032427,2.117445068,0.000792919,-7.139789313,1.162482907,0.580166371,gray
PLEKHG2,PLEKHG2,IPI00303373,IPI00303373;IPI00867660;IPI00935618,Isoform 1 of Pleckstrin homology domain-containing family G member 2,1386,"( 4 ,7 ,0 )","( 8 ,6 ,2 )",0.517257856,2.66424e-06,-12.83559338,12.89855997,5.15069e-06,-12.17637961,7.798087968,0.580283693,gray
NDNL2,NDNL2,IPI00217104,IPI00217104,Melanoma-associated antigen G1,304,"( 9 ,2 ,0 )","( 6 ,5 ,2 )",0.522362472,1.0458e-05,-11.46814323,14.85210135,2.00206e-05,-10.81874969,7.433797721,0.58029377,gray
PIK3R4,PIK3R4,IPI00024006,IPI00024006,Phosphoinositide 3-kinase regulatory subunit 4,1358,"( 12 ,20 ,31 )","( 12 ,13 ,30 )",1.147404434,2.19718e-05,-10.72575207,2.441527498,1.91491e-05,-10.86325445,2.743045716,0.580543832,gray
VPS39,VPS39,IPI00328236,IPI00328236;IPI00332744,Isoform 1 of Vam6/Vps39-like protein,886,"( 2 ,3 ,3 )","( 1 ,6 ,8 )",0.708953365,4.52097e-06,-12.30678495,1.82537201,6.37696e-06,-11.96281942,8.111255692,0.581223219,gray
PSMD6,PSMD6,IPI00014151,IPI00014151,26S proteasome non-ATPase regulatory subunit 6,389,"( 105 ,81 ,240 )","( 113 ,116 ,217 )",0.880178482,0.00049841,-7.604088085,4.357944596,0.00056626,-7.476457513,2.215075105,0.582628313,gray
FLNC,FLNC,IPI00178352,IPI00178352,Isoform 1 of Filamin-C,2725,"( 226.807 ,311.165 ,342.181 )","( 252.651 ,239.466 ,306.733 )",1.073329391,0.000162122,-8.727161187,1.970614905,0.000151046,-8.797926585,1.284088227,0.583422284,gray
COPS3,COPS3,IPI00025721,IPI00025721;IPI00797970,COP9 signalosome complex subunit 3,423,"( 42 ,33 ,35 )","( 40 ,42 ,42 )",0.872782847,0.000132764,-8.926934839,3.85497587,0.000152116,-8.790866341,2.231903246,0.583754201,gray
PHF8,PHF8;PHF2,IPI00480187,IPI00639896;IPI00873999;IPI00480187;IPI00183302;IPI00921184;IPI00430079;IPI00247096;IPI00867617;IPI00880119;IPI00440145,Isoform 1 of Histone lysine demethylase PHF8,1060,"( 2 ,5 ,0 )","( 2 ,2 ,6 )",0.604001584,2.46459e-06,-12.91348523,10.92852359,4.08044e-06,-12.40930678,3.460180564,0.584404539,gray
CTH,CTH,IPI00031557,IPI00031557;IPI00221301,Isoform 1 of Cystathionine gamma-lyase,405,"( 17 ,15 ,12 )","( 13 ,12 ,34 )",0.818995977,5.48571e-05,-9.810778467,4.481895086,6.69809e-05,-9.61110236,3.978356535,0.584547894,gray
DSCR3,DSCR3,IPI00298946,IPI00790720;IPI00298946;IPI00789523,Down syndrome critical region protein 3,297,"( 5 ,7 ,15 )","( 7 ,7 ,7 )",1.13417613,4.17754e-05,-10.083202,2.976865046,3.68333e-05,-10.20910851,2.091463442,0.585590639,gray
UBAC2,UBAC2,IPI00168284,IPI00646359;IPI00007034;IPI00168284;IPI00941744;IPI00829996,Isoform 1 of Ubiquitin-associated domain-containing protein 2,344,"( 7 ,12 ,16.0588 )","( 2 ,13 ,17 )",1.430345851,4.97282e-05,-9.908938068,2.517442958,3.47666e-05,-10.26685434,9.944946183,0.585945121,gray
MPZL1,MPZL1,IPI00022558,IPI00410607;IPI00160538;IPI00760547;IPI00644618;IPI00893925;IPI00022558,Isoform 1 of Myelin protein zero-like protein 1,269,"( 3 ,0 ,6 )","( 8 ,2 ,2 )",0.605363131,1.17227e-05,-11.35398733,10.00348693,1.93647e-05,-10.85206055,8.687539014,0.586479471,gray
SCAMP3,SCAMP3,IPI00306382,IPI00306382,Isoform 1 of Secretory carrier-associated membrane protein 3,347,"( 11 ,10 ,23 )","( 18 ,13 ,15 )",0.881478606,6.00184e-05,-9.720858645,2.120659197,6.80884e-05,-9.594704098,3.20304507,0.586524161,gray
EEA1,EEA1,IPI00941708,IPI00329536;IPI00941708,Putative uncharacterized protein EEA1,1411,"( 31 ,52 ,60 )","( 43 ,46 ,59 )",0.923464669,4.97224e-05,-9.909054431,2.306007643,5.38433e-05,-9.829431692,0.495541658,0.586678808,gray
SLK,SLK,IPI00022827,IPI00247439;IPI00022827,Isoform 1 of STE20-like serine/threonine-protein kinase,1235,"( 33 ,47 ,11 )","( 55.8871 ,50 ,21 )",0.651306471,3.18713e-05,-10.3538049,9.790357058,4.89344e-05,-9.925029923,7.563187531,0.586700612,gray
USP34,USP34,IPI00297593,IPI00914601;IPI00297593;IPI00894492;IPI00787401,Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 34,3546,"( 6 ,3 ,8 )","( 6 ,6 ,6 )",0.858835606,2.25921e-06,-13.00049579,3.020867768,2.63055e-06,-12.84831803,1.67107828,0.58749268,gray
RPL7,RPL7P32,IPI00871827,IPI00871827;IPI00030179;IPI00472171,32 kDa protein,272,"( 215 ,213.925 ,438 )","( 194 ,226 ,360.639 )",1.065788566,0.001528961,-6.483167078,2.358726154,0.001434582,-6.546882041,1.655502593,0.587595782,gray
CMYA5,CMYA5,IPI00166612,IPI00166612,Cardiomyopathy-associated protein 5,4069,"( 12 ,9 ,4 )","( 3 ,6 ,9 )",1.363320119,2.83954e-06,-12.77186783,6.535026471,2.08281e-06,-13.08179082,2.837647261,0.587907282,gray
PPP2CA,PPP2CA,IPI00008380,IPI00815784;IPI00008380,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,309,"( 43.6364 ,15.1818 ,21.2353 )","( 20.7286 ,34.5231 ,38.1913 )",0.787706534,0.000119583,-9.031503791,7.473509123,0.000151811,-8.792874114,2.302732058,0.588390193,gray
CCDC94,CCDC94,IPI00306471,IPI00306471,Coiled-coil domain-containing protein 94,323,"( 11 ,13 ,3 )","( 8 ,6 ,2 )",1.619332696,3.56882e-05,-10.24069152,10.41629997,2.20388e-05,-10.72270567,8.845797489,0.588935959,gray
CLTCL1,CLTCL1,IPI00022881,IPI00300446;IPI00022881,Isoform 1 of Clathrin heavy chain 2,1640,"( 3.75171 ,5.01763 ,12.6133 )","( 8.83855 ,5.00448 ,8.51681 )",0.842922785,5.77098e-06,-12.06266896,3.071489776,6.84639e-06,-11.89178904,2.88398644,0.589095312,gray
DNM1L,DNM1L,IPI00871742,IPI00942042;IPI00871742;IPI00146935;IPI00910662,"Dynamin 1-like, isoform CRA_c",789,"( 108 ,88 ,176 )","( 87 ,107 ,142 )",1.057561286,0.000230251,-8.376340649,1.855083596,0.000217719,-8.432306233,0.671582841,0.589239114,gray
BDH2,BDH2,IPI00607799,IPI00607799,Isoform 1 of 3-hydroxybutyrate dehydrogenase type 2,245,"( 24 ,26 ,15 )","( 23 ,19 ,37 )",0.819354315,0.000131472,-8.936717559,6.250999034,0.000160458,-8.73747889,2.188264468,0.589877078,gray
GTF2E1,GTF2E1,IPI00019977,IPI00019977;IPI00946947,General transcription factor IIE subunit 1,439,"( 5 ,3 ,7 )","( 7 ,5 ,0 )",1.772208516,1.66093e-05,-11.00555058,2.836894597,9.37206e-06,-11.5777771,14.47983433,0.58999244,gray
PLXNB1,PLXNB1,IPI00455329,IPI00455329;IPI00006644,Isoform 1 of Plexin-B1,2135,"( 7 ,12 ,13 )","( 12 ,10 ,12 )",0.896522303,7.37198e-06,-11.81782473,2.073643947,8.22286e-06,-11.70859262,1.807094194,0.590299667,gray
SLC25A13,SLC25A13,IPI00930710,IPI00930710;IPI00007084,calcium-binding mitochondrial carrier protein Aralar2 isoform 1,676,"( 102.222 ,103.639 ,281.419 )","( 131.833 ,122.591 ,259.582 )",0.877327992,0.000325413,-8.030416687,3.965995662,0.000370913,-7.899542324,2.814593699,0.590653688,gray
GOLGA4,GOLGA4,IPI00927614,IPI00013272;IPI00927614;IPI00927872;IPI00220521;IPI00220522;IPI00927117;IPI00926947;IPI00926736,golgin subfamily A member 4 isoform 1,2243,"( 11 ,11 ,3 )","( 0 ,4 ,19 )",1.980539195,5.42008e-06,-12.12539907,9.038921097,2.73667e-06,-12.8087682,13.40901527,0.590707845,gray
CSNK2A2,CSNK2A2,IPI00020602,IPI00020602,Casein kinase II subunit alpha',350,"( 67.4295 ,61.4013 ,84.7179 )","( 66 ,66 ,53 )",1.130197088,0.000307969,-8.085511463,1.622591528,0.000272491,-8.207903494,4.131710932,0.591003365,gray
VAMP3,VAMP3,IPI00549343,IPI00549343,Vesicle-associated membrane protein 3,100,"( 8 ,14.25 ,14 )","( 11 ,11.4286 ,16 )",0.910157996,0.000178615,-8.630276499,3.219333577,0.000196246,-8.536139426,0.388691969,0.591231742,gray
NUDCD1,NUDCD1,IPI00797537,IPI00797537;IPI00306398;IPI00789225,Isoform 1 of NudC domain-containing protein 1,583,"( 63 ,51 ,56 )","( 48 ,47 ,54 )",1.120415742,0.000148111,-8.81754639,3.445157561,0.000132193,-8.931246205,1.658313346,0.591235682,gray
TCEB3,TCEB3,IPI00941732,IPI00941732;IPI00956613,Transcription elongation factor B polypeptide 3,798,"( 6 ,9 ,6 )","( 9 ,11 ,6 )",0.803267566,1.31549e-05,-11.2387186,3.710924426,1.63767e-05,-11.01965119,4.563986067,0.59235145,gray
WDR62,WDR62,IPI00794521,IPI00794521;IPI00470483,WD repeat-containing protein 62 isoform 1,1523,"( 14 ,18 ,5 )","( 8 ,8 ,7 )",1.387731183,1.08392e-05,-11.43233987,8.197006849,7.81075e-06,-11.76001004,2.467122906,0.593204946,gray
NSUN4,NSUN4,IPI00303944,IPI00847563;IPI00303944,Isoform 1 of Putative methyltransferase NSUN4,384,"( 9 ,1 ,4 )","( 7 ,12 ,2 )",0.58830961,1.31425e-05,-11.23965965,10.13428909,2.23394e-05,-10.70915773,10.38830792,0.593569596,gray
GCC2,GCC2,IPI00333197,IPI00916213;IPI00005631;IPI00872239;IPI00917491;IPI00333197,Isoform 2 of GRIP and coiled-coil domain-containing protein 2,1684,"( 7.73684 ,16.9412 ,9 )","( 9 ,11.3793 ,37.5862 )",0.794135098,1.24859e-05,-11.29090792,3.01581779,1.57227e-05,-11.06040624,5.451517618,0.594837193,gray
TAF5,TAF5,IPI00298925,IPI00298925;IPI00298926,Isoform Long of Transcription initiation factor TFIID subunit 5,800,"( 8 ,11 ,2 )","( 4 ,2 ,6 )",1.515996517,1.07067e-05,-11.44464197,10.19288309,7.06248e-06,-11.86071496,3.865876659,0.59506993,gray
